path,filename,file_size,sha256,entropy,num_strings,is_pe,num_imported_dlls,num_imported_functions,label
E:\design project\veritas-mvp\samples\benign\002ce0d28ec990aadbbc89df457189de37d8adaadc9c084b78eb7be9a9820c81.exe,002ce0d28ec990aadbbc89df457189de37d8adaadc9c084b78eb7be9a9820c81.exe,400848,002ce0d28ec990aadbbc89df457189de37d8adaadc9c084b78eb7be9a9820c81,6.205816,5145,False,0,0,0
E:\design project\veritas-mvp\samples\benign\00eea85752664955047caad7d6280bc7bf1ab91c61eb9a2542c26b747a12e963.exe,00eea85752664955047caad7d6280bc7bf1ab91c61eb9a2542c26b747a12e963.exe,38400,00eea85752664955047caad7d6280bc7bf1ab91c61eb9a2542c26b747a12e963,5.824382,574,False,0,0,0
E:\design project\veritas-mvp\samples\benign\2844b24385ae3e9ed11105b02ca87b7bc0e49ee5086739138640ca42b6b60df3.exe,2844b24385ae3e9ed11105b02ca87b7bc0e49ee5086739138640ca42b6b60df3.exe,35480,2844b24385ae3e9ed11105b02ca87b7bc0e49ee5086739138640ca42b6b60df3,4.259168,265,False,0,0,0
E:\design project\veritas-mvp\samples\benign\2999b0709f50ed5026039496142254af172990a50e2a6e1d327b7cb94b072f7c.exe,2999b0709f50ed5026039496142254af172990a50e2a6e1d327b7cb94b072f7c.exe,109568,2999b0709f50ed5026039496142254af172990a50e2a6e1d327b7cb94b072f7c,6.456085,455,False,0,0,0
E:\design project\veritas-mvp\samples\benign\2844b24385ae3e9ed11105b02ca87b7bc0e49ee5086739138640ca42b6b60df3.exe,2844b24385ae3e9ed11105b02ca87b7bc0e49ee5086739138640ca42b6b60df3.exe,35480,2844b24385ae3e9ed11105b02ca87b7bc0e49ee5086739138640ca42b6b60df3,4.259168,265,False,0,0,0
E:\design project\veritas-mvp\samples\benign\2844b24385ae3e9ed11105b02ca87b7bc0e49ee5086739138640ca42b6b60df3.exe,2844b24385ae3e9ed11105b02ca87b7bc0e49ee5086739138640ca42b6b60df3.exe,35480,2844b24385ae3e9ed11105b02ca87b7bc0e49ee5086739138640ca42b6b60df3,4.259168,265,False,0,0,0
E:\design project\veritas-mvp\samples\benign\04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe,04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe,140800,04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366,5.877851,788,False,0,0,0
E:\design project\veritas-mvp\samples\benign\002ce0d28ec990aadbbc89df457189de37d8adaadc9c084b78eb7be9a9820c81.exe,002ce0d28ec990aadbbc89df457189de37d8adaadc9c084b78eb7be9a9820c81.exe,400848,002ce0d28ec990aadbbc89df457189de37d8adaadc9c084b78eb7be9a9820c81,6.205816,5145,False,0,0,1
E:\design project\veritas-mvp\samples\benign\00eea85752664955047caad7d6280bc7bf1ab91c61eb9a2542c26b747a12e963.exe,00eea85752664955047caad7d6280bc7bf1ab91c61eb9a2542c26b747a12e963.exe,38400,00eea85752664955047caad7d6280bc7bf1ab91c61eb9a2542c26b747a12e963,5.824382,574,False,0,0,1
E:\design project\veritas-mvp\samples\benign\2844b24385ae3e9ed11105b02ca87b7bc0e49ee5086739138640ca42b6b60df3.exe,2844b24385ae3e9ed11105b02ca87b7bc0e49ee5086739138640ca42b6b60df3.exe,35480,2844b24385ae3e9ed11105b02ca87b7bc0e49ee5086739138640ca42b6b60df3,4.259168,265,False,0,0,1
